Class;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494;495;496;497;498;499;500;501;502;503;504;505;506;507;508;509;510;511;512;513;514;515;516;517;518;519;520;521;522;523;524;525;526;527;528;529;530;531;532;533;534;535;536;537;538;539;540
A;30.0;26.0;23.0;24.0;21.0;29.0;33.0;26.0;28.0;14.0;33.0;40.0;27.0;24.0;33.0;25.0;27.0;27.0;14.0;27.0;27.0;24.0;40.0;33.0;33.0;26.0;27.0;22.0;21.0;26.0;25.0;31.0;20.0;19.0;31.0;18.0;25.0;23.0;19.0;20.0;22.0;25.0;18.0;20.0;26.0;22.0;23.0;21.0;18.0;25.0;19.0;22.0;21.0;17.0;19.0;23.0;20.0;24.0;22.0;23.0;19.0
A;30.0;20.0;22.0;30.0;31.0;29.0;27.0;21.0;32.0;25.0;31.0;22.0;21.0;26.0;21.0;26.0;25.0;30.0;30.0;25.0;29.0;25.0;29.0;21.0;21.0;28.0;23.0;27.0;24.0;19.0;23.0;17.0;27.0;28.0;21.0;15.0;23.0;33.0;27.0;25.0;26.0;20.0;19.0;20.0;16.0;32.0;28.0;17.0;27.0;19.0;13.0;19.0;17.0;19.0;21.0;24.0;18.0;20.0;27.0;17.0;18.0
A;26.0;26.0;21.0;21.0;27.0;22.0;25.0;23.0;12.0;20.0;19.0;20.0;21.0;30.0;24.0;22.0;28.0;22.0;27.0;30.0;26.0;27.0;22.0;23.0;30.0;28.0;23.0;21.0;28.0;33.0;19.0;26.0;23.0;24.0;23.0;31.0;25.0;17.0;28.0;29.0;30.0;25.0;26.0;22.0;18.0;27.0;23.0;24.0;20.0;23.0;22.0;26.0;30.0;23.0;21.0;17.0;26.0;24.0;21.0;28.0;15.0
A;24.0;23.0;19.0;21.0;32.0;29.0;30.0;31.0;21.0;29.0;29.0;33.0;26.0;32.0;23.0;28.0;24.0;23.0;27.0;32.0;34.0;20.0;36.0;23.0;28.0;30.0;30.0;23.0;31.0;19.0;37.0;29.0;26.0;25.0;27.0;30.0;26.0;23.0;27.0;22.0;21.0;25.0;33.0;23.0;19.0;24.0;19.0;27.0;20.0;25.0;24.0;22.0;11.0;27.0;19.0;19.0;29.0;27.0;24.0;16.0;22.0
A;27.0;25.0;19.0;25.0;24.0;24.0;32.0;32.0;30.0;32.0;30.0;38.0;28.0;33.0;25.0;21.0;19.0;17.0;26.0;17.0;29.0;24.0;29.0;21.0;23.0;15.0;31.0;27.0;23.0;20.0;18.0;18.0;23.0;26.0;30.0;23.0;25.0;24.0;25.0;28.0;24.0;24.0;16.0;20.0;24.0;24.0;18.0;19.0;20.0;19.0;20.0;16.0;22.0;30.0;21.0;20.0;12.0;14.0;21.0;21.0;16.0
A;17.0;28.0;36.0;24.0;32.0;29.0;21.0;20.0;23.0;37.0;32.0;25.0;22.0;25.0;16.0;22.0;24.0;19.0;25.0;31.0;28.0;32.0;27.0;30.0;22.0;32.0;20.0;26.0;29.0;32.0;19.0;26.0;24.0;21.0;25.0;27.0;21.0;22.0;21.0;20.0;19.0;31.0;23.0;28.0;24.0;24.0;14.0;14.0;17.0;28.0;19.0;22.0;26.0;21.0;17.0;23.0;23.0;19.0;20.0;25.0;22.0
A;27.0;32.0;27.0;19.0;24.0;22.0;27.0;19.0;26.0;27.0;22.0;21.0;24.0;28.0;26.0;30.0;26.0;26.0;27.0;30.0;30.0;24.0;24.0;23.0;23.0;29.0;33.0;30.0;12.0;30.0;19.0;21.0;31.0;28.0;34.0;15.0;28.0;31.0;22.0;17.0;19.0;19.0;20.0;24.0;21.0;20.0;25.0;22.0;6.0;25.0;21.0;23.0;28.0;16.0;20.0;29.0;24.0;25.0;18.0;20.0;15.0
A;33.0;32.0;28.0;19.0;27.0;27.0;28.0;18.0;19.0;26.0;35.0;21.0;29.0;26.0;30.0;18.0;25.0;23.0;25.0;45.0;29.0;18.0;22.0;29.0;26.0;26.0;26.0;21.0;27.0;26.0;19.0;21.0;26.0;19.0;24.0;24.0;31.0;30.0;23.0;22.0;22.0;21.0;20.0;23.0;27.0;23.0;22.0;26.0;18.0;17.0;23.0;21.0;34.0;17.0;27.0;18.0;19.0;17.0;26.0;19.0;23.0
A;28.0;26.0;18.0;36.0;27.0;34.0;32.0;28.0;33.0;29.0;24.0;32.0;23.0;25.0;30.0;35.0;27.0;29.0;31.0;36.0;21.0;26.0;28.0;21.0;22.0;29.0;27.0;29.0;24.0;24.0;21.0;17.0;33.0;24.0;24.0;25.0;15.0;23.0;28.0;22.0;22.0;23.0;29.0;26.0;25.0;21.0;25.0;23.0;30.0;24.0;22.0;22.0;19.0;20.0;18.0;22.0;27.0;20.0;18.0;21.0;22.0
