Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka <= -0.48;6.284623074888602;K ka;-0.48;<=;-0.5530037290491623;18.0;0.004092283291745158;K ka <= -0.553004
K ka > 0.44;5.0393284750672205;K ka;0.44;>;0.5221139741195824;34.0;0.0019776629149033664;K ka > 0.522114
K ka <= -0.16;4.827155063730203;K ka;-0.16;<=;-0.18834243772425907;19.0;0.0003007136710259928;K ka <= -0.188342
K kb + Ca ka <= -0.14;4.65003944081758;K kb + Ca ka;-0.14;<=;-0.06345788100151484;21.0;0.000246254383843153;K kb + Ca ka <= -0.063458
K ka <= 0.20;4.423660024169296;K ka;0.20;<=;0.25404221656655146;24.0;0.004192361868619043;K ka <= 0.254042
Rb ka + Br kb > -0.02;4.149785426132005;Rb ka + Br kb;-0.02;>;-0.0037442710273196678;27.0;0.0007290866009028486;Rb ka + Br kb > -0.003744
K ka <= 0.44;3.929844089451713;K ka;0.44;<=;0.5221139741195824;34.0;0.0019776629149033664;K ka <= 0.522114
K ka > 0.20;3.797873385148328;K ka;0.20;>;0.25404221656655146;24.0;0.004192361868619043;K ka > 0.254042
K kb + Ca ka > 0.16;3.2721331963081504;K kb + Ca ka;0.16;>;0.047945349056639275;19.0;0.0020581935877721225;K kb + Ca ka > 0.047945
K ka > -0.48;3.2604333693809084;K ka;-0.48;>;-0.5530037290491623;18.0;0.004092283291745158;K ka > -0.553004
K kb + Ca ka <= -0.02;3.1822835096944697;K kb + Ca ka;-0.02;<=;-0.004928087762383404;3.0;0.001388698610241948;K kb + Ca ka <= -0.004928
K ka > -0.16;3.0547299093475453;K ka;-0.16;>;-0.18834243772425907;19.0;0.0003007136710259928;K ka > -0.188342
K kb + Ca ka <= 0.11;3.0279686717234693;K kb + Ca ka;0.11;<=;0.052217401013207265;11.0;0.003078070119604648;K kb + Ca ka <= 0.052217
K kb + Ca ka <= 0.16;2.981704872015224;K kb + Ca ka;0.16;<=;0.047945349056639275;19.0;0.0020581935877721225;K kb + Ca ka <= 0.047945
K kb + Ca ka > 0.11;2.9327471569048664;K kb + Ca ka;0.11;>;0.052217401013207265;11.0;0.003078070119604648;K kb + Ca ka > 0.052217
K kb + Ca ka > -0.02;2.833210811191803;K kb + Ca ka;-0.02;>;-0.004928087762383404;3.0;0.001388698610241948;K kb + Ca ka > -0.004928
Rb ka + Br kb > -0.12;2.442412575248026;Rb ka + Br kb;-0.12;>;-0.062361456661756076;9.0;0.002080858658217985;Rb ka + Br kb > -0.062361
Rb ka + Br kb <= -0.28;2.277499351360896;Rb ka + Br kb;-0.28;<=;-0.1365233231826264;0.0;0.0001984067801824585;Rb ka + Br kb <= -0.136523
K kb + Ca ka > -0.14;2.2370515957291914;K kb + Ca ka;-0.14;>;-0.06345788100151484;21.0;0.000246254383843153;K kb + Ca ka > -0.063458
Cl <= -0.20;2.075640045812427;Cl;-0.20;<=;-0.07430131975503179;7.0;0.0011348428381594555;Cl <= -0.074301
Rb ka + Br kb > -0.28;2.0436419179657794;Rb ka + Br kb;-0.28;>;-0.1365233231826264;0.0;0.0001984067801824585;Rb ka + Br kb > -0.136523
Cl > 0.16;2.0353262526459788;Cl;0.16;>;0.06112234687863516;13.0;0.002723453022512229;Cl > 0.061122
Cl > 0.03;1.7301682056630105;Cl;0.03;>;0.011233014109880979;16.0;0.0031592981138144766;Cl > 0.011233
Rb ka + Br kb <= -0.12;1.6121510262768228;Rb ka + Br kb;-0.12;<=;-0.062361456661756076;9.0;0.002080858658217985;Rb ka + Br kb <= -0.062361
Cl <= -0.04;1.3109565025838166;Cl;-0.04;<=;-0.01592905451340948;14.0;0.0032237838469919497;Cl <= -0.015929
Rh ka Rayleigh <= -0.15;1.183841505818015;Rh ka Rayleigh;-0.15;<=;-0.09309661225687105;25.0;0.0022914303841470307;Rh ka Rayleigh <= -0.093097
Cl <= 0.03;1.1827677576637528;Cl;0.03;<=;0.011233014109880979;16.0;0.0031592981138144766;Cl <= 0.011233
Rb ka + Br kb <= 0.14;1.142033888848185;Rb ka + Br kb;0.14;<=;0.06799395113647266;33.0;0.00028345179785560504;Rb ka + Br kb <= 0.067994
Rh ka Compton <= -0.39;1.0720474885113696;Rh ka Compton;-0.39;<=;-0.34597265719891634;25.0;0.0026202684572996238;Rh ka Compton <= -0.345973
Cl <= 0.16;1.0387973880192818;Cl;0.16;<=;0.06112234687863516;13.0;0.002723453022512229;Cl <= 0.061122
Rh ka Compton <= -0.05;1.0326989819649928;Rh ka Compton;-0.05;<=;-0.04304015359971913;26.0;0.0012773392433402114;Rh ka Compton <= -0.043040
Rb ka + Br kb <= -0.02;1.032458273757997;Rb ka + Br kb;-0.02;<=;-0.0037442710273196678;27.0;0.0007290866009028486;Rb ka + Br kb <= -0.003744
Cl > -0.04;0.9998127766773882;Cl;-0.04;>;-0.01592905451340948;14.0;0.0032237838469919497;Cl > -0.015929
Rh kb Compton <= -0.20;0.9660266204513017;Rh kb Compton;-0.20;<=;-0.10080061536968654;25.0;0.001114948038950736;Rh kb Compton <= -0.100801
Cl > -0.20;0.9405482095045461;Cl;-0.20;>;-0.07430131975503179;7.0;0.0011348428381594555;Cl > -0.074301
Rh ka Compton > 0.45;0.9238232429515502;Rh ka Compton;0.45;>;0.42111408045297694;2.0;0.002151522945430584;Rh ka Compton > 0.421114
Rh ka Rayleigh <= -0.02;0.744084505545678;Rh ka Rayleigh;-0.02;<=;-0.02072950851993216;10.0;0.004994008145047496;Rh ka Rayleigh <= -0.020730
Rh kb Compton <= 0.00;0.7089945450312617;Rh kb Compton;0.00;<=;0.004147107635348313;8.0;0.003255521602989444;Rh kb Compton <= 0.004147
Rh ka Compton > 0.14;0.691493599988749;Rh ka Compton;0.14;>;0.1287489691765229;0.0;0.002249824427869085;Rh ka Compton > 0.128749
Rh ka Rayleigh > 0.21;0.6821801399511976;Rh ka Rayleigh;0.21;>;0.127041762299267;13.0;0.003323301240988147;Rh ka Rayleigh > 0.127042
Rh ka Rayleigh <= 0.09;0.6735168862834732;Rh ka Rayleigh;0.09;<=;0.05953315951673632;33.0;0.0003789493142774547;Rh ka Rayleigh <= 0.059533
Zn > 0.07;0.6084593633539366;Zn;0.07;>;0.0213025979516549;21.0;0.0022011428178128345;Zn > 0.021303
Rh ka Compton <= 0.14;0.5823833246303587;Rh ka Compton;0.14;<=;0.1287489691765229;0.0;0.002249824427869085;Rh ka Compton <= 0.128749
Rh kb Compton > 0.25;0.560021133074285;Rh kb Compton;0.25;>;0.12412394010737948;3.0;0.0033643669939620313;Rh kb Compton > 0.124124
Rh ka Rayleigh <= 0.21;0.5410130605605761;Rh ka Rayleigh;0.21;<=;0.127041762299267;13.0;0.003323301240988147;Rh ka Rayleigh <= 0.127042
Rh ka Rayleigh > 0.09;0.5078753240819335;Rh ka Rayleigh;0.09;>;0.05953315951673632;33.0;0.0003789493142774547;Rh ka Rayleigh > 0.059533
Rh ka Compton > -0.05;0.4950919825515883;Rh ka Compton;-0.05;>;-0.04304015359971913;26.0;0.0012773392433402114;Rh ka Compton > -0.043040
Rh ka Compton <= 0.45;0.4882321745388523;Rh ka Compton;0.45;<=;0.42111408045297694;2.0;0.002151522945430584;Rh ka Compton <= 0.421114
Rh kb Compton > 0.10;0.46185664884058003;Rh kb Compton;0.10;>;0.05069030583334877;1.0;0.004415399919996926;Rh kb Compton > 0.050690
Zn <= -0.10;0.4295397202534177;Zn;-0.10;<=;-0.03157306707776225;8.0;0.0037934166548432013;Zn <= -0.031573
Rh kb Compton <= 0.10;0.4227994236724135;Rh kb Compton;0.10;<=;0.05069030583334877;1.0;0.004415399919996926;Rh kb Compton <= 0.050690
Zn > 0.02;0.4221102660136946;Zn;0.02;>;0.0040110346254300655;20.0;0.0006595766713897132;Zn > 0.004011
Rh kb Compton <= 0.25;0.417214486817175;Rh kb Compton;0.25;<=;0.12412394010737948;3.0;0.0033643669939620313;Rh kb Compton <= 0.124124
Zn > -0.10;0.4138632179866866;Zn;-0.10;>;-0.03157306707776225;8.0;0.0037934166548432013;Zn > -0.031573
Rh ka Rayleigh > -0.02;0.4120172335089727;Rh ka Rayleigh;-0.02;>;-0.02072950851993216;10.0;0.004994008145047496;Rh ka Rayleigh > -0.020730
Zn <= -0.03;0.39841226749822917;Zn;-0.03;<=;-0.009577440667061787;24.0;0.0020038510569648296;Zn <= -0.009577
Fe > 0.09;0.3976343431956753;Fe;0.09;>;0.01994285053368272;13.0;0.0003321503862268177;Fe > 0.019943
Rh ka Compton > -0.39;0.3927498873047363;Rh ka Compton;-0.39;>;-0.34597265719891634;25.0;0.0026202684572996238;Rh ka Compton > -0.345973
Rh ka Rayleigh > -0.15;0.3767631900734081;Rh ka Rayleigh;-0.15;>;-0.09309661225687105;25.0;0.0022914303841470307;Rh ka Rayleigh > -0.093097
Zn > -0.03;0.37417945798558316;Zn;-0.03;>;-0.009577440667061787;24.0;0.0020038510569648296;Zn > -0.009577
Rh kb Compton > 0.00;0.35489476491641436;Rh kb Compton;0.00;>;0.004147107635348313;8.0;0.003255521602989444;Rh kb Compton > 0.004147
Rh kb Compton > -0.20;0.33907821753785633;Rh kb Compton;-0.20;>;-0.10080061536968654;25.0;0.001114948038950736;Rh kb Compton > -0.100801
background3 <= -0.26;0.3288723831356295;background3;-0.26;<=;-0.10751376287868952;18.0;0.002602501570542315;background3 <= -0.107514
Zn <= 0.02;0.28294627743551887;Zn;0.02;<=;0.0040110346254300655;20.0;0.0006595766713897132;Zn <= 0.004011
Cu > 0.11;0.27425110726483726;Cu;0.11;>;0.030620898694675436;28.0;0.0027059088884178045;Cu > 0.030621
S > 0.05;0.2565722341923437;S;0.05;>;0.012153562142425606;22.0;0.000556777648947411;S > 0.012154
Zn <= 0.07;0.24729833138159016;Zn;0.07;<=;0.0213025979516549;21.0;0.0022011428178128345;Zn <= 0.021303
Fe > -0.01;0.2365470839430822;Fe;-0.01;>;-0.003908707087157903;30.0;0.0007397466095276101;Fe > -0.003909
background3 > 0.19;0.22281186140694229;background3;0.19;>;0.07853567510447901;29.0;0.003343204134355099;background3 > 0.078536
Cu > 0.01;0.2222193901072262;Cu;0.01;>;-0.0016748437759720458;5.0;0.00038582829027884735;Cu > -0.001675
background3 <= -0.04;0.21686083960770727;background3;-0.04;<=;-0.015821007695217215;23.0;0.0036261385814745015;background3 <= -0.015821
Cu > -0.05;0.21601511805898996;Cu;-0.05;>;-0.016014503390239798;12.0;0.00013644881855073843;Cu > -0.016015
Cu <= -0.13;0.20755803979671894;Cu;-0.13;<=;-0.040444791780162914;16.0;0.0019789187804046537;Cu <= -0.040445
background3 <= 0.08;0.19233715504075688;background3;0.08;<=;0.03455443588609031;11.0;0.0023644870524980044;background3 <= 0.034554
S > 0.01;0.1918713159135676;S;0.01;>;0.001823279277491957;33.0;0.0022631949501074567;S > 0.001823
Cu > -0.13;0.18921663386459986;Cu;-0.13;>;-0.040444791780162914;16.0;0.0019789187804046537;Cu > -0.040445
Fe > -0.07;0.18724067147767706;Fe;-0.07;>;-0.015980737179675075;3.0;0.0042027888304893984;Fe > -0.015981
S <= -0.07;0.18452167504604905;S;-0.07;<=;-0.01601548453747198;30.0;0.0005959911137007334;S <= -0.016015
Rh kb Rayleigh <= -0.08;0.18304904070602568;Rh kb Rayleigh;-0.08;<=;-0.02985130756545873;25.0;0.002857581100000492;Rh kb Rayleigh <= -0.029851
background3 > 0.08;0.182925293877744;background3;0.08;>;0.03455443588609031;11.0;0.0023644870524980044;background3 > 0.034554
background3 <= 0.19;0.17759337466860917;background3;0.19;<=;0.07853567510447901;29.0;0.003343204134355099;background3 <= 0.078536
Fe > -0.12;0.1771948779029322;Fe;-0.12;>;-0.03112395269310486;14.0;0.000596877931087092;Fe > -0.031124
Cu <= 0.11;0.17704076883004263;Cu;0.11;<=;0.030620898694675436;28.0;0.0027059088884178045;Cu <= 0.030621
background3 > -0.04;0.17340341708457085;background3;-0.04;>;-0.015821007695217215;23.0;0.0036261385814745015;background3 > -0.015821
background3 > -0.26;0.1668040225332017;background3;-0.26;>;-0.10751376287868952;18.0;0.002602501570542315;background3 > -0.107514
Cu <= -0.05;0.16463637305872347;Cu;-0.05;<=;-0.016014503390239798;12.0;0.00013644881855073843;Cu <= -0.016015
S <= -0.02;0.16143919872245077;S;-0.02;<=;-0.004243639160307566;7.0;0.00010564847641271816;S <= -0.004244
S > -0.02;0.15907600503745023;S;-0.02;>;-0.004243639160307566;7.0;0.00010564847641271816;S > -0.004244
Br ka <= -0.05;0.15750718124011692;Br ka;-0.05;<=;-0.02202794325475299;7.0;0.0004246085689303958;Br ka <= -0.022028
S > -0.07;0.15664622696132185;S;-0.07;>;-0.01601548453747198;30.0;0.0005959911137007334;S > -0.016015
Br ka > -0.15;0.15444747287854876;Br ka;-0.15;>;-0.0633819042667576;4.0;0.0014053185128797552;Br ka > -0.063382
Rh kb Rayleigh <= -0.02;0.15367141643523968;Rh kb Rayleigh;-0.02;<=;-0.006061026625097554;4.0;0.0010473226116457096;Rh kb Rayleigh <= -0.006061
Rh kb Rayleigh <= 0.12;0.1534914831175554;Rh kb Rayleigh;0.12;<=;0.04147519472646377;13.0;0.0017384823922556858;Rh kb Rayleigh <= 0.041475
Br ka <= 0.17;0.15120449771047714;Br ka;0.17;<=;0.06683098742833393;6.0;0.0030368956719621087;Br ka <= 0.066831
