Class;540;541;542;543;544;545;546;547;548;549;550;551;552;553;554;555;556;557;558;559;560;561;562;563;564;565;566;567;568;569;570;571;572;573;574;575;576;577;578;579;580;581;582;583;584;585;586;587;588;589;590;591;592;593;594;595;596;597;598;599;600;601;602;603;604;605;606;607;608;609;610
A;24.0;22.0;24.0;27.0;25.0;15.0;17.0;22.0;25.0;19.0;33.0;29.0;32.0;26.0;27.0;34.0;16.0;25.0;18.0;26.0;16.0;28.0;16.0;22.0;28.0;30.0;23.0;21.0;27.0;24.0;15.0;16.0;19.0;22.0;26.0;27.0;23.0;22.0;20.0;25.0;18.0;23.0;24.0;25.0;12.0;25.0;22.0;27.0;12.0;25.0;15.0;21.0;29.0;25.0;30.0;29.0;25.0;19.0;19.0;16.0;22.0;22.0;14.0;20.0;20.0;20.0;25.0;25.0;24.0;25.0;12.0
A;25.0;30.0;19.0;20.0;23.0;25.0;22.0;18.0;28.0;20.0;22.0;20.0;20.0;25.0;21.0;29.0;25.0;26.0;22.0;28.0;28.0;18.0;19.0;25.0;22.0;25.0;25.0;15.0;31.0;26.0;33.0;34.0;37.0;31.0;21.0;24.0;27.0;28.0;17.0;21.0;29.0;27.0;26.0;31.0;31.0;25.0;33.0;38.0;24.0;18.0;30.0;27.0;28.0;25.0;31.0;31.0;31.0;29.0;26.0;19.0;23.0;26.0;17.0;18.0;18.0;27.0;14.0;16.0;18.0;16.0;14.0
A;15.0;24.0;16.0;27.0;23.0;17.0;24.0;20.0;25.0;24.0;27.0;23.0;17.0;30.0;22.0;15.0;25.0;25.0;23.0;18.0;22.0;21.0;21.0;35.0;28.0;24.0;23.0;15.0;29.0;13.0;29.0;22.0;24.0;19.0;24.0;24.0;28.0;25.0;27.0;24.0;32.0;17.0;28.0;26.0;19.0;21.0;34.0;30.0;26.0;26.0;24.0;26.0;18.0;28.0;22.0;20.0;29.0;29.0;19.0;28.0;28.0;20.0;19.0;15.0;14.0;20.0;15.0;31.0;21.0;19.0;15.0
A;20.0;22.0;16.0;19.0;16.0;29.0;20.0;20.0;24.0;23.0;20.0;23.0;31.0;25.0;18.0;27.0;10.0;10.0;22.0;26.0;34.0;20.0;23.0;28.0;24.0;18.0;22.0;22.0;23.0;15.0;12.0;26.0;33.0;31.0;27.0;24.0;22.0;20.0;44.0;28.0;21.0;26.0;27.0;30.0;32.0;30.0;18.0;29.0;31.0;26.0;20.0;28.0;30.0;28.0;20.0;24.0;18.0;19.0;23.0;22.0;25.0;22.0;21.0;20.0;24.0;25.0;28.0;13.0;16.0;18.0;19.0
A;17.0;29.0;24.0;23.0;32.0;17.0;23.0;20.0;26.0;29.0;17.0;18.0;30.0;18.0;21.0;15.0;28.0;25.0;22.0;17.0;23.0;20.0;34.0;31.0;26.0;25.0;20.0;18.0;26.0;30.0;30.0;34.0;23.0;25.0;19.0;23.0;17.0;12.0;26.0;28.0;25.0;35.0;19.0;34.0;32.0;29.0;36.0;30.0;31.0;22.0;27.0;25.0;17.0;18.0;28.0;26.0;30.0;23.0;25.0;24.0;20.0;26.0;17.0;26.0;28.0;18.0;19.0;14.0;14.0;11.0;18.0
A;18.0;17.0;15.0;24.0;22.0;21.0;18.0;20.0;29.0;20.0;17.0;13.0;26.0;24.0;25.0;16.0;25.0;20.0;25.0;20.0;17.0;16.0;21.0;19.0;22.0;12.0;19.0;28.0;23.0;22.0;26.0;27.0;21.0;18.0;26.0;23.0;32.0;28.0;23.0;17.0;29.0;27.0;23.0;21.0;31.0;35.0;23.0;20.0;30.0;25.0;24.0;26.0;15.0;26.0;20.0;28.0;22.0;13.0;12.0;26.0;18.0;19.0;19.0;14.0;23.0;15.0;20.0;16.0;15.0;19.0;23.0
A;21.0;23.0;17.0;20.0;26.0;7.0;12.0;15.0;29.0;20.0;32.0;26.0;24.0;28.0;27.0;27.0;34.0;25.0;21.0;25.0;26.0;22.0;30.0;26.0;25.0;26.0;27.0;23.0;15.0;26.0;20.0;18.0;15.0;30.0;24.0;32.0;23.0;28.0;28.0;22.0;28.0;32.0;15.0;24.0;18.0;33.0;19.0;30.0;33.0;28.0;24.0;21.0;22.0;21.0;25.0;14.0;24.0;23.0;29.0;19.0;17.0;19.0;20.0;30.0;27.0;10.0;15.0;19.0;22.0;20.0;17.0
A;20.0;15.0;17.0;22.0;19.0;28.0;28.0;30.0;18.0;23.0;22.0;21.0;20.0;32.0;24.0;30.0;23.0;29.0;22.0;29.0;21.0;30.0;20.0;24.0;20.0;23.0;20.0;21.0;27.0;23.0;24.0;33.0;25.0;23.0;25.0;20.0;23.0;23.0;28.0;22.0;20.0;27.0;24.0;29.0;23.0;34.0;25.0;27.0;25.0;19.0;28.0;26.0;13.0;23.0;13.0;22.0;29.0;23.0;25.0;24.0;21.0;18.0;24.0;21.0;18.0;21.0;14.0;14.0;19.0;19.0;19.0
A;17.0;22.0;22.0;27.0;16.0;12.0;27.0;32.0;24.0;19.0;24.0;16.0;25.0;25.0;20.0;23.0;23.0;29.0;22.0;26.0;21.0;32.0;29.0;21.0;20.0;27.0;19.0;23.0;21.0;23.0;27.0;24.0;25.0;25.0;14.0;28.0;24.0;22.0;23.0;28.0;23.0;32.0;20.0;25.0;31.0;26.0;32.0;25.0;26.0;29.0;28.0;23.0;26.0;25.0;20.0;27.0;13.0;21.0;18.0;32.0;28.0;28.0;25.0;27.0;23.0;14.0;17.0;19.0;23.0;19.0;20.0
A;23.0;36.0;25.0;23.0;25.0;25.0;30.0;20.0;26.0;18.0;24.0;18.0;36.0;21.0;28.0;23.0;19.0;19.0;26.0;26.0;21.0;19.0;25.0;32.0;14.0;23.0;22.0;27.0;29.0;29.0;20.0;19.0;28.0;25.0;27.0;24.0;25.0;30.0;26.0;27.0;23.0;20.0;22.0;26.0;20.0;23.0;28.0;24.0;15.0;25.0;21.0;19.0;38.0;27.0;20.0;31.0;15.0;23.0;21.0;20.0;21.0;20.0;21.0;18.0;15.0;22.0;19.0;18.0;21.0;20.0;20.0
A;25.0;22.0;22.0;19.0;19.0;24.0;27.0;9.0;24.0;26.0;25.0;25.0;16.0;27.0;29.0;24.0;19.0;18.0;25.0;25.0;32.0;23.0;21.0;23.0;26.0;29.0;18.0;22.0;24.0;27.0;21.0;24.0;26.0;23.0;21.0;20.0;25.0;30.0;24.0;23.0;27.0;17.0;26.0;26.0;30.0;37.0;35.0;27.0;25.0;25.0;23.0;36.0;25.0;28.0;29.0;30.0;20.0;19.0;19.0;28.0;26.0;27.0;17.0;20.0;26.0;24.0;14.0;25.0;23.0;26.0;22.0
A;29.0;21.0;38.0;18.0;15.0;22.0;23.0;27.0;24.0;23.0;19.0;11.0;20.0;21.0;35.0;25.0;30.0;20.0;32.0;20.0;25.0;26.0;18.0;26.0;21.0;23.0;28.0;18.0;25.0;30.0;22.0;23.0;22.0;27.0;27.0;31.0;32.0;23.0;28.0;35.0;20.0;26.0;27.0;27.0;25.0;24.0;25.0;36.0;27.0;34.0;21.0;36.0;37.0;37.0;31.0;25.0;25.0;16.0;30.0;27.0;26.0;23.0;21.0;24.0;15.0;20.0;24.0;25.0;25.0;17.0;20.0
A;17.0;13.0;17.0;18.0;30.0;21.0;14.0;15.0;24.0;22.0;28.0;20.0;23.0;30.0;25.0;25.0;22.0;21.0;22.0;18.0;18.0;31.0;31.0;19.0;18.0;15.0;18.0;18.0;19.0;21.0;21.0;14.0;16.0;35.0;31.0;29.0;29.0;22.0;20.0;19.0;42.0;30.0;20.0;31.0;30.0;19.0;22.0;37.0;29.0;32.0;24.0;33.0;18.0;15.0;29.0;19.0;23.0;11.0;21.0;20.0;21.0;21.0;24.0;21.0;17.0;18.0;23.0;8.0;25.0;18.0;18.0
A;17.0;10.0;15.0;15.0;20.0;20.0;21.0;20.0;24.0;26.0;29.0;25.0;22.0;18.0;19.0;25.0;14.0;22.0;21.0;22.0;19.0;19.0;23.0;32.0;12.0;23.0;20.0;21.0;18.0;23.0;19.0;30.0;18.0;26.0;18.0;26.0;15.0;31.0;15.0;20.0;24.0;24.0;30.0;22.0;21.0;28.0;22.0;18.0;22.0;20.0;28.0;21.0;26.0;20.0;22.0;14.0;23.0;20.0;19.0;17.0;18.0;18.0;20.0;27.0;17.0;24.0;20.0;19.0;26.0;19.0;16.0
A;19.0;27.0;21.0;18.0;22.0;12.0;21.0;28.0;23.0;20.0;22.0;26.0;24.0;20.0;22.0;27.0;20.0;19.0;24.0;34.0;20.0;19.0;27.0;28.0;14.0;17.0;23.0;27.0;24.0;23.0;21.0;15.0;30.0;19.0;22.0;21.0;27.0;24.0;24.0;31.0;27.0;21.0;26.0;32.0;27.0;24.0;25.0;27.0;24.0;29.0;25.0;34.0;24.0;32.0;19.0;31.0;30.0;17.0;26.0;24.0;27.0;20.0;23.0;14.0;11.0;12.0;15.0;18.0;16.0;18.0;13.0
A;22.0;16.0;12.0;22.0;15.0;22.0;15.0;20.0;31.0;25.0;20.0;30.0;14.0;24.0;32.0;28.0;26.0;26.0;29.0;22.0;17.0;22.0;26.0;27.0;25.0;23.0;27.0;28.0;28.0;20.0;33.0;22.0;23.0;27.0;37.0;20.0;24.0;24.0;31.0;28.0;23.0;27.0;30.0;27.0;22.0;32.0;27.0;27.0;32.0;38.0;20.0;27.0;23.0;31.0;25.0;28.0;24.0;23.0;17.0;14.0;23.0;22.0;26.0;20.0;17.0;23.0;18.0;18.0;15.0;16.0;10.0
A;19.0;22.0;14.0;13.0;27.0;17.0;24.0;24.0;15.0;15.0;24.0;22.0;23.0;19.0;23.0;20.0;30.0;28.0;20.0;25.0;25.0;28.0;17.0;25.0;25.0;25.0;23.0;19.0;29.0;31.0;19.0;19.0;25.0;27.0;25.0;22.0;29.0;22.0;29.0;20.0;32.0;19.0;29.0;21.0;30.0;22.0;19.0;26.0;19.0;23.0;28.0;26.0;27.0;34.0;26.0;20.0;18.0;19.0;23.0;25.0;27.0;21.0;21.0;27.0;20.0;16.0;23.0;22.0;22.0;27.0;22.0
A;29.0;16.0;19.0;22.0;22.0;23.0;23.0;20.0;29.0;19.0;22.0;18.0;21.0;24.0;25.0;27.0;25.0;17.0;19.0;26.0;31.0;28.0;21.0;21.0;20.0;20.0;21.0;25.0;19.0;17.0;19.0;21.0;25.0;19.0;27.0;33.0;24.0;22.0;35.0;31.0;28.0;25.0;29.0;34.0;28.0;36.0;30.0;23.0;31.0;32.0;27.0;28.0;29.0;29.0;23.0;22.0;24.0;27.0;19.0;14.0;24.0;21.0;24.0;22.0;14.0;19.0;17.0;18.0;16.0;16.0;19.0
A;11.0;28.0;15.0;20.0;26.0;22.0;30.0;24.0;11.0;29.0;16.0;21.0;29.0;19.0;26.0;19.0;22.0;18.0;22.0;27.0;33.0;23.0;24.0;23.0;19.0;24.0;31.0;24.0;27.0;31.0;22.0;21.0;26.0;18.0;19.0;22.0;20.0;30.0;35.0;24.0;23.0;24.0;19.0;22.0;37.0;32.0;24.0;23.0;22.0;34.0;33.0;23.0;28.0;22.0;39.0;22.0;14.0;22.0;22.0;19.0;21.0;12.0;14.0;28.0;26.0;14.0;16.0;20.0;21.0;24.0;21.0
A;25.0;19.0;25.0;37.0;21.0;17.0;20.0;26.0;24.0;22.0;25.0;18.0;33.0;28.0;21.0;23.0;25.0;27.0;25.0;23.0;34.0;18.0;21.0;34.0;16.0;32.0;32.0;35.0;24.0;21.0;18.0;21.0;21.0;30.0;26.0;33.0;24.0;42.0;24.0;34.0;27.0;23.0;26.0;26.0;24.0;29.0;30.0;27.0;26.0;21.0;29.0;28.0;33.0;26.0;28.0;23.0;14.0;23.0;17.0;24.0;23.0;19.0;23.0;21.0;25.0;24.0;13.0;18.0;17.0;14.0;19.0
